language,year,sentiment,count
ar,2014,negative,13
ar,2014,neutral,477
ar,2014,positive,10
ar,2015,negative,1
ar,2015,neutral,57
ar,2016,negative,1
ar,2016,neutral,68
ar,2016,positive,2
ar,2017,negative,4
ar,2017,neutral,246
ar,2017,positive,4
ar,2018,negative,6
ar,2018,neutral,651
ar,2018,positive,10
ar,2019,negative,19
ar,2019,neutral,1391
ar,2019,positive,56
ar,2020,negative,34
ar,2020,neutral,1482
ar,2020,positive,49
ar,2021,negative,40
ar,2021,neutral,2458
ar,2021,positive,84
ar,2022,negative,1165
ar,2022,neutral,36064
ar,2022,positive,1113
ar,2023,negative,1201
ar,2023,neutral,18426
ar,2023,positive,937
ar,2024,negative,321
ar,2024,neutral,5077
ar,2024,positive,290
en,2014,negative,718
en,2014,neutral,5791
en,2014,positive,376
en,2015,negative,109
en,2015,neutral,1958
en,2015,positive,114
en,2016,negative,50
en,2016,neutral,1086
en,2016,positive,62
en,2017,negative,304
en,2017,neutral,5166
en,2017,positive,271
en,2018,negative,242
en,2018,neutral,4008
en,2018,positive,201
en,2019,negative,401
en,2019,neutral,17023
en,2019,positive,1520
en,2020,negative,398
en,2020,neutral,11274
en,2020,positive,964
en,2021,negative,685
en,2021,neutral,15703
en,2021,positive,1192
en,2022,negative,18491
en,2022,neutral,225057
en,2022,positive,25003
en,2023,negative,6715
en,2023,neutral,103349
en,2023,positive,13587
en,2024,negative,2414
en,2024,neutral,33897
en,2024,positive,7870
es,2014,negative,23
es,2014,neutral,330
es,2014,positive,13
es,2015,negative,12
es,2015,neutral,123
es,2015,positive,6
es,2016,negative,6
es,2016,neutral,66
es,2016,positive,8
es,2017,negative,43
es,2017,neutral,1161
es,2017,positive,50
es,2018,negative,75
es,2018,neutral,1573
es,2018,positive,70
es,2019,negative,73
es,2019,neutral,3200
es,2019,positive,184
es,2020,negative,73
es,2020,neutral,2545
es,2020,positive,172
es,2021,negative,129
es,2021,neutral,3113
es,2021,positive,138
es,2022,negative,7007
es,2022,neutral,90574
es,2022,positive,6029
es,2023,negative,2247
es,2023,neutral,32268
es,2023,positive,2698
es,2024,negative,702
es,2024,neutral,11373
es,2024,positive,1729
ru,2014,negative,5
ru,2014,neutral,1195
ru,2014,positive,34
ru,2015,negative,5
ru,2015,neutral,1135
ru,2015,positive,28
ru,2016,negative,6
ru,2016,neutral,1998
ru,2016,positive,49
ru,2017,negative,36
ru,2017,neutral,7195
ru,2017,positive,182
ru,2018,negative,109
ru,2018,neutral,12410
ru,2018,positive,247
ru,2019,negative,54
ru,2019,neutral,14910
ru,2019,positive,363
ru,2020,negative,309
ru,2020,neutral,42495
ru,2020,positive,970
ru,2021,negative,250
ru,2021,neutral,49124
ru,2021,positive,963
ru,2022,negative,307
ru,2022,neutral,45999
ru,2022,positive,795
ru,2023,negative,458
ru,2023,neutral,44358
ru,2023,positive,878
ru,2024,negative,260
ru,2024,neutral,24661
ru,2024,positive,592
